"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram" "rezsikoltseg"
"11" "23.9" "53" "2" " 4. kerület, Aradi utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" NA "nincs megadva" NA
"12" "55.9" "93" "3" " 2. kerület, Szász Károly utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "2 m²" NA NA NA
"13" "29.5" "50" "2" " 8. kerület, Losonci tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA "nincs megadva" NA
"14" "24.99" "35" "2" " 15. kerület, Pattogós utca " "felújított" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva" NA
"15" "31.9" "68" "3" " 15. kerület, Páskom park " "felújított" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA NA
"16" "29.8" "42" "1" " 8. kerület, Víg utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA "8 000 Ft/hó"
"17" "33.7" "46" "2" " 12. kerület, Maros utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950 elott" NA "nincs" NA NA
"18" "190" "94" "2" " 5. kerület, Belgrád rakpart " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"19" "24.99" "40" "1" " 20. kerület, Nagysándor József utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "2 m²" "nincs" NA "30 000 Ft/hó"
"20" "31.99" "68" "3" " 21. kerület, Csepel – Ady Endre úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" "nincs" "nem vett részt" "40 000 Ft/hó"
