"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo"
"11" "53" "71" "2" " 2. kerület, Mandula utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" NA "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" NA
"12" "23.9" "47" "2" " 15. kerület, Páskomliget utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA
"13" "25.9" "65" "2" " 15. kerület, Zsókavár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" NA "nem" "nincs megadva" "nincs megadva" "utca, közterület" NA
"14" "45.9" "61" "3" " 9. kerület, Erno utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"15" "38.9" "62" "2" " 7. kerület, Lövölde tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"16" "53" "98" "5" " 7. kerület, Hutyra Ferenc utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"17" "63.5" "70" "3" " 7. kerület, Dohány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"18" "38.5" "58" "2" " 7. kerület, Wesselényi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"19" "11.9" "16" "1" " 14. kerület, Thököly út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 999 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"20" "78.4" "75" "3" " 6. kerület, Teréz körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "30 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs"
