"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "panelprogram" "legkondicionalo"
"11" "106" "99" "2" " 1. kerület, Vár " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "észak" "utcai" "5.21 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"12" "32.9" "31" "1" " 7. kerület, Középso-Erzsébetváros " "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "2018" NA NA
"13" "58.9" "85" "2" " 11. kerület, Budafoki út " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"14" "32" "41" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"15" "34.5" "26" "1" " 6. kerület, Külso-Terézváros " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"16" "27.9" "29" "1" " 13. kerület, Rozsnyai utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" NA "van"
"17" "30.5" "33" "2" " 9. kerület, Középso-Ferencváros " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "van"
"18" "34.9" "39" "1" " 7. kerület, Középso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA
"19" "26.9" "35" "1" " 13. kerület, Gidófalvy Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA
"20" "20.2" "27" "1" " 9. kerület, Aranyvirág sétány " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "20 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA
