"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "43.5" "82" "3" " 8. kerület, Teleki László tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor), egyéb" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" NA "2 m²" NA NA
"12" "69.9" "69" "2" " 13. kerület, Meder utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "hoszivattyú" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" "40 000 Ft/hó" "13 m²" NA NA
"13" "89" "180" "6" " 14. kerület, Ilosvai Selymes utca " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "van" NA NA NA NA
"14" "53.6" "63" "2" " 7. kerület, Damjanich utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "földszintes" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "udvari" "igen" "nincs megadva" "utca, közterület - ingyenes" "nincs" "10 000 Ft/hó" NA NA NA
"15" "28.9" "34" "1" " 3. kerület, Szolo köz " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva" NA
"16" "46.13" "43" "1" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "82 m²" NA "3.6 M Ft"
"17" "140" "107" "3" " 5. kerület, József nádor tér " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nem" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"18" "19.9" "71" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "26 000 Ft/hó" "3 m²" "részt vett" NA
"19" "15.99" "32" "1" " 20. kerület, Baba utca " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA NA NA NA
"20" "58.6" "63" "3" " 13. kerület, Angyalföld " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
