"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "62" "102" "3" " 14. kerület, Ilka utca " NA "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"12" "168.75" "114" "4" " 6. kerület, Aradi utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "1 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "80" "66" "2" " 6. kerület, Eötvös utca " NA "újszeru" NA "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "153.9" "73" "3" " 5. kerület, Széchenyi utca " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA "nem" "külön helyiségben" "dél" "panorámás" "2 m²" "nem" NA "utca, közterület" NA NA NA
"15" "26.9" "46" "1" " 14. kerület, Szentmihályi út " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
"16" "61.1" "75" "3" " 13. kerület, Szent László út " NA "újszeru" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "28 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "53" "54" "2" " 6. kerület, Belso-Terézváros " NA "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko)" NA "nem" "külön helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"18" "43.8" "48" "2" " 11. kerület, Fadrusz utca " NA "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "van" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "30" "39" "1" " 9. kerület, Pöttyös utca " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "65.9" "49" "1" " 1. kerület, Várkert rakpart " NA "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "35 000 Ft/hó" NA
