"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"11" "45.9" "64" "2" " 3. kerület, San Marco utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "5 m²" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA NA NA NA
"12" "136" "120" "3" " 6. kerület, Podmaniczky utca 16. " "felújított" "luxus" "DD" "1" "4" "van" "3 m vagy magasabb" "hoszivattyú, elektromos" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "van" "25 200 Ft/hó" NA NA NA
"13" "25.5" "36" "1" " 4. kerület, Kordován tér " "felújított" "nincs megadva" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA NA
"14" "26.9" "42" "1" " 9. kerület, Ülloi út 161. " "felújított" "összkomfortos" "FF" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" NA "utca, közterület - fizetos övezet" NA "nincs" "30 000 Ft/hó" NA NA NA
"15" "78.8" "94" "4" " 12. kerület, Thomán István utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "panorámás" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "van" NA NA NA NA
"16" "32.5" "56" "1" " 9. kerület, Mester utca 65. " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA NA
"17" "105.9" "87" "4" " 3. kerület, Turbolya köz " "új építésu" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"18" "47.9" "56" "2" " 13. kerület, Pozsonyi út " "jó állapotú" "összkomfortos" "CC" "félemelet" "5" "van" "3 m vagy magasabb" "egyéb" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" "19 000 Ft/hó" NA NA NA
"19" "69.29" "65" "2" " 13. kerület, Metropolitan Garden " "új építésu" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti, gázkazán" "nincs megadva" "egy helyiségben" "kelet" "utcai" "27.05 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "2020" NA NA NA "Metropolitan Garden" "2.8 M Ft"
"20" "44.26" "47" "1" " 9. kerület, BB Házak " "új építésu" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "nyugat" "utcai" "8.48 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "nincs" NA NA "BB Házak" "5 M Ft"
