"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"11" "103" "95" "5" " 11. kerület, Sasad " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "igen" "nincs megadva" "udvari beálló" "1981-2000 között" "van" NA NA
"12" "34.9" "51" "1" " 3. kerület, Madzsar József utca " "felújított" "összkomfortos" "nincs megadva" "2" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "részt vett"
"13" "90" "156" "5" " 7. kerület, Erzsébet körút " "felújított" "duplakomfortos" "nincs megadva" "3" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"14" "23.9" "38" "1" " 10. kerület, Kobánya-Városközpont " "felújítandó" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva"
"15" "26.9" "35" "1" " 19. kerület, Deák Ferenc utca " "felújított" "összkomfortos" "nincs megadva" "2" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "4 m²" "részt vett"
"16" "36.5" "43" "0" " 7. kerület, Murányi utca 45. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"17" "26.9" "53" "2" " 19. kerület, Széchenyi utca " "jó állapotú" "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" "2 m²" "nincs megadva"
"18" "45.9" "47" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "2001-2010 között" NA "36 m²" NA
"19" "38.99" "45" "2" " 12. kerület, Hajnóczy József utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"20" "29" "52" "2" " 15. kerület, Páskomliget utca 3. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva"
