"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"11" "62.9" "85" "3" " 12. kerület, Maros utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "35 000 Ft/hó" NA
"12" "26.5" "68" "2" " 20. kerület, Ady Endre utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "38 000 Ft/hó" "nem vett részt"
"13" "64.9" "53" "2" " 14. kerület, Kerékgyártó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délnyugat" "nincs megadva" "30 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "25 000 Ft/hó" NA
"14" "74.9" "81" "2" " 6. kerület, Paulay Ede utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "76.9" "83" "2" " 1. kerület, Gellérthegy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"16" "79.9" "93" "3" " 6. kerület, Munkácsy Mihály utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"17" "28.2" "38" "1" " 8. kerület, Tavaszmezo utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "külön helyiségben" "észak" "udvari" NA "nem" "nem tetotéri" "nincs megadva" NA NA
"18" "27.9" "40" "2" " 16. kerület, Hosök fasora " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "tetotéri" "udvari beálló - megvásárolható" NA NA
"19" "29.9" "49" "2" " 16. kerület, Tekla utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "3.5 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"20" "32.7" "69" "2" " 22. kerület, Leányka utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
