"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"11" "74.5" "104" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"12" "154.78" "125" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2018" "61.44 m²" NA "Sasad Liget VI. ütem" NA
"13" "39.9" "107" "3" " 21. kerület, Sügér utca " "újszeru" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán" NA "igen" "külön és egyben is" "nincs megadva" "kertre nézo" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" "2001-2010 között" "30 m²" NA NA NA
"14" "146.83" "109" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "udvari" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2018" "62.9 m²" NA "Sasad Liget VI. ütem" NA
"15" "139.5" "115" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2018" "47.37 m²" NA "Sasad Liget VI. ütem" NA
"16" "32.5" "38" "1" " 13. kerület, Zsinór utca 43. " "nincs megadva" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2020" "2.26 m²" NA NA "3.5 M Ft"
"17" "126.55" "96" "4" " 11. kerület, Sasad Liget VI. ütem " "új építésu" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2018" "66.12 m²" NA "Sasad Liget VI. ütem" NA
"18" "39.7" "50" "2" " 13. kerület, Zsinór utca 43. " "nincs megadva" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "2020" "7.13 m²" NA NA "3.5 M Ft"
"19" "55" "73" "2" " 1. kerület, Attila út " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "igen" "nincs megadva" "nincs megadva" "udvari" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA NA
"20" "85" "97" "3" " 2. kerület, Bimbó út " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" NA "önálló garázs" "1981-2000 között" "14 m²" NA NA NA
