"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara"
"11" "54.9" "59" "3" " 3. kerület, Pünkösdfürdo utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "9" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "35 000 Ft/hó" "igen" "külön és egyben is" "délnyugat" "panorámás" "6.48 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "4.5 M Ft"
"12" "74.7" "83" "3" " 6. kerület, Szinyei Merse Pál utca 14. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA
"13" "99.9" "92" "2" " 13. kerület, Szent István körút " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"14" "34.4" "50" "3" " 10. kerület, Koér utca 7. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "2.4 m²" "igen" "nincs megadva" NA "utca, közterület - ingyenes" NA
"15" "29.8" "33" "1" " 2. kerület, Mecset utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "2 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"16" "155" "111" "3" " 11. kerület, Szentimreváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "16 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"17" "29.9" "42" "2" " 7. kerület, Péterfy Sándor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA
"18" "29.9" "68" "2" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" NA "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA
"19" "34.5" "48" "2" " 11. kerület, Rátz László utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" NA NA "nincs megadva" NA
"20" "47" "42" "2" " 11. kerület, Nagyszeben út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" "van" "17 000 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "3.15 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" "4 M Ft"
