"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara" "panelprogram"
"11" "38" "44" "2" " 4. kerület, Újpest " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"12" "69.86" "61" "3" " 11. kerület, Sasad Liget V. ütem " "új építésu" "2017" "összkomfortos" "nincs megadva" "földszint" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "31.89 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "Sasad Liget V. ütem" "4 M Ft" NA
"13" "62.15" "61" "3" " 11. kerület, Sasad Resort Hilltop by Cordia " "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "nyugat" "utcai" "11 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Sasad Resort Hilltop by Cordia" "3.5 M Ft" NA
"14" "43.9" "53" "2" " 8. kerület, Bíró Lajos utca " "új építésu" "2020" "összkomfortos" "AA+" "1" "6" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "3.95 M Ft" NA
"15" "77.3" "47" "2" " 6. kerület, Király Boutique Residence " "új építésu" "2021" "luxus" "nincs megadva" "1" "6" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "nincs megadva" "délkelet" "utcai" "6.93 m²" "nem" "nem tetotéri" "teremgarázs hely" "van" NA "Király Boutique Residence" NA NA
"16" "28.5" "36" "1" " 13. kerület, Kárpát utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA "nincs megadva"
"17" "59.8" "65" "3" " 6. kerület, Mozsár utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"18" "28.9" "33" "1" " 13. kerület, Tahi utca 46. " "felújított" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"19" "91.9" "115" "4" " 12. kerület, Orbánhegy " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "panorámás" "23 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "nincs" NA NA NA NA
"20" "42.9" "59" "2" " 6. kerület, Vörösmarty utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "3.5 m²" "nem" "nem tetotéri" "utca, közterület" "van" NA NA NA NA
