"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"11" "159.9" "153" "4" " 5. kerület, Október 6. utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"12" "155.64" "153" "4" " 2. kerület, II/A kerület – Budaliget " "befejezetlen" NA "duplakomfortos" "nincs megadva" "földszint" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "56 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA
"13" "233.69" "152" "4" " 5. kerület, Szemere utca " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "59.75" "101" "3" " 6. kerület, Külso-Terézváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "43" "41" "2" " 1. kerület, Batthyány utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"16" "19.9" "40" "1" " 19. kerület, Báthory utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "72" "91" "3" " 14. kerület, Gyarmat utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "228" "204" "3" " 12. kerület, Mártonhegy " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "54 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "78.9" "112" "3" " 6. kerület, Podmaniczky utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"20" "24.3" "54" "2" " 19. kerület, Jáhn Ferenc utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "15 000 Ft/hó"
