"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "panelprogram"
"11" "132.5" "65" "4" " 5. kerület, Október 6. utca " "felújítandó" "nincs megadva" "AA" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nyugat" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA "4 m²" NA NA
"12" "124.9" "79" "2" " 5. kerület, Garibaldi utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"13" "79.9" "73" "2" " 5. kerület, Apáczai Csere János utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"14" "83.5" "75" "2" " 7. kerület, Király utca 1/e " "jó állapotú" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA "2 m²" NA NA
"15" "87" "100" "4" " 11. kerület, Sasad " "újszeru" "nincs megadva" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "1981-2000 között" "10 000 Ft/hó" "8 m²" "van" NA
"16" "37.7" "49" "2" " 13. kerület, Vizafogó lakótelep " "felújított" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" NA "3 m²" "van" "nincs megadva"
"17" "34" "55" "2" " 3. kerület, Kaszásduloi lakótelep " "nincs megadva" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA "4 m²" NA "nincs megadva"
"18" "24.5" "26" "1" " 7. kerület, Csengery utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"19" "67" "64" "2" " 7. kerület, Klauzál tér " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"20" "49.9" "64" "2" " 8. kerület, Kálvária tér " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "20 000 Ft/hó" "9 m²" "nincs" NA
