"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "legkondicionalo"
"11" "21.9" "32" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van"
"12" "25.5" "52" "2" " 10. kerület, Kobánya-Városközpont " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"13" "23" "36" "1" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA
"14" "89.9" "89" "2" " 2. kerület, Víziváros " "jó állapotú" NA "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA NA "van"
"15" "42.9" "68" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nincs megadva" "utca, közterület" NA NA NA
"16" "28.3" "51" "2" " 22. kerület, Háros utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "25 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"17" "104" "95" "4" " 13. kerület, Huba utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "58 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" NA NA "van"
"18" "83.2" "92" "4" " 13. kerület, Huba utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "7.5 m²" "nem" "penthouse" "teremgarázs hely - megvásárolható" NA NA "van"
"19" "78.9" "92" "4" " 13. kerület, Huba utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "7.8 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "van"
"20" "59" "64" "3" " 13. kerület, Huba utca " "újszeru" "2017" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "megújuló energia" NA "nincs megadva" "külön és egyben is" "északkelet" "kertre nézo" "6.9 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "van"
