"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"11" "33.5" "57" "3" " 16. kerület, Újmátyásföld – Centenáriumi lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "4.32 m²" NA
"12" "62.9" "85" "3" " 7. kerület, Almássy tér " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"13" "329.52" "164" "4" " 2. kerület, Vérhalom utca " "nincs megadva" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "igen" "külön és egyben is" "dél" "kertre nézo" "nem" "nincs megadva" NA "teremgarázs hely - megvásárolható" "2019" "van" "37.76 m²" "6 M Ft"
"14" "9.9" "54" "2" " 22. kerület, Gyár utca " "felújított" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "60 000 Ft/hó" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"15" "119" "141" "6" " 8. kerület, Szentkirályi utca " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"16" "119.5" "152" "4" " 2. kerület, Csévi utca " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950 elott" NA NA NA
"17" "72.5" "68" "2" " 7. kerület, Károly körút " "felújított" "luxus" "nincs megadva" "1" "6" "van" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA NA
"18" "23.9" "64" "2" " 10. kerület, Ligettelek " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "6" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA
"19" "59.99" "77" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "nincs megadva" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "panorámás" "nincs megadva" "nincs megadva" NA "önálló garázs - megvásárolható" "2019" NA "10 m²" "3.8 M Ft"
"20" "29.9" "39" "1" " 14. kerület, Erzsébet királyné útja " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "8 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA NA
