"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "61.29" "79" "3" " 13. kerület, Béke tér " "újszeru" "2019" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "6.6 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA
"12" "47.58" "61" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6.28 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "3 M Ft" NA NA
"13" "37.9" "48" "2" " 13. kerület, Pannónia utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"14" "53.17" "69" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "5.3 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"15" "47.88" "63" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "3 M Ft" NA NA
"16" "57.24" "74" "2" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.28 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"17" "46.99" "61" "2" " 13. kerület, Béke tér " "újszeru" "2019" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "3.54 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "59.2" "95" "3" " 14. kerület, Öv utca " "közepes állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "8 m²" "nem" "tetotéri" "teremgarázs hely - kötelezo megvenni" "2.5 M Ft" NA NA
"19" "20.9" "31" "1" " 8. kerület, Lujza utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "31.8" "49" "1" " 22. kerület, Budatétény " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "nincs megadva" "udvari" "4 m²" "nem" NA "utca, közterület" NA NA NA
