"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"11" "24.75" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "nincs megadva" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA
"12" "23.4" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "nem vett részt" NA
"13" "39.9" "60" "1" " 14. kerület, Francia út " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "1 m²" "nem" "tetotéri" "nincs megadva" "van" NA NA NA
"14" "58.9" "71" "3" " 2. kerület, Kandó Kálmán utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "5 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"15" "42.4" "57" "2" " 11. kerület, Lágymányosi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA NA
"16" "35.89" "55" "2" " 14. kerület, Angol utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA NA
"17" "39.8" "55" "2" " 3. kerület, Óbuda-Óváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"18" "41.7" "60" "3" " 8. kerület, Karácsony Sándor utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "délnyugat" "utcai" "2 m²" "nem" "nem tetotéri" "teremgarázs hely" "nincs" "30 000 Ft/hó" NA NA
"19" "79.9" "108" "4" " 6. kerület, Podmaniczky utca " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA NA
"20" "27.9" "54" "2" " 10. kerület, Szolohegy utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "délnyugat" "utcai" "4 m²" "nem" NA "utca, közterület - ingyenes" "nincs" "9 000 Ft/hó" NA NA
