"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"11" "88.5" "75" "2" " 7. kerület, Király utca 1 E " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti" "igen" "külön és egyben is" "délkelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "24.9" "41" "1" " 8. kerület, Baross utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "37.9" "60" "2" " 14. kerület, Istvánmezo " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor), egyéb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "önálló garázs - bérelheto" "van" NA NA NA
"14" "49.9" "96" "4" " 8. kerület, Népszínház utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA "20 000 Ft/hó"
"15" "63.1" "70" "3" " 11. kerület, Keveháza utca 8. " "újszeru" "2019" "összkomfortos" "AA++" "földszint" "4" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "igen" "külön helyiségben" "nincs megadva" "udvari" "10 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "5.8 M Ft" NA NA
"16" "24.9" "45" "2" " 10. kerület, Kápolna utca 11. " "felújított" NA "összkomfortos" "EE" "7" "7" "van" "nincs megadva" "távfutés" "nem" "egy helyiségben" "kelet" "panorámás" "4 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "van" NA "nem vett részt" NA
"17" "31.2" "50" "2" " 11. kerület, Sárbogárdi út 20. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "1 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA "30 000 Ft/hó"
"18" "116.9" "128" "4" " 6. kerület, Eötvös utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "8 m²" "nincs megadva" "tetotéri" "utca, közterület" "van" NA NA NA
"19" "31.6" "53" "2" " 13. kerület, Váci út 159. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"20" "25.8" "25" "1" " 7. kerület, Murányi utca 53. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA "10 000 Ft/hó"
