"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"11" "29.89" "50" "2" " 3. kerület, Hímzo utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA
"12" "91.8" "88" "2" " 13. kerület, Vizafogó " "újszeru" "2017" "nincs megadva" "nincs megadva" "6" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "66 m²" "nincs megadva" "penthouse" NA "nincs megadva" "van" NA NA
"13" "39.9" "42" "2" " 13. kerület, Kucsma utca 1. " "újszeru" "2017" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "14 m²" "nem" "nem tetotéri" NA "udvari beálló - megvásárolható" NA NA "3 M Ft"
"14" "69.8" "84" "3" " 13. kerület, Angyalföld " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "16 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" NA NA "3 M Ft"
"15" "69.9" "75" "3" " 6. kerület, Nagymezo utca " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "nincs megadva" NA "nincs megadva" "tetotéri" NA "utca, közterület - fizetos övezet" "van" NA NA
"16" "39" "48" "1" " 2. kerület, Országút " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északkelet" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" "nincs" NA NA
"17" "27.49" "56" "2" " 21. kerület, Csepel-Kertváros " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" NA "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA
"18" "56.9" "83" "3" " 14. kerület, Hungária körút " "nincs megadva" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" NA "utca, közterület" "van" NA NA
"19" "33.9" "75" "3" " 19. kerület, Batthyány utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "kertre nézo" "5 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "van" NA NA
"20" "61.9" "95" "3" " 14. kerület, Gizella út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
