"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely"
"11" "49.9" "78" "2" " 14. kerület, Besnyoi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "6 m²"
"12" "225" "163" "4" " 13. kerület, Révész utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "60 m²"
"13" "45.5" "65" "3" " 11. kerület, Bártfai utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA "4 m²"
"14" "20.9" "47" "2" " 20. kerület, Hatvani utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" NA "utca, közterület - ingyenes" "20 000 Ft/hó" NA
"15" "85.9" "56" "2" " 2. kerület, Országút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" NA "36.86 m²"
"16" "39.9" "45" "2" " 11. kerület, Irinyi József utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA "3 m²"
"17" "44.5" "79" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" NA NA
"18" "82.5" "72" "3" " 3. kerület, Testvérhegy " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "megújuló energia" "nincs" "nem" "külön helyiségben" "dél" "utcai" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA "21 m²"
"19" "59.9" "77" "3" " 3. kerület, Óbuda – Filatorigát " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló" NA "4 m²"
"20" "101" "96" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" NA "10 m²"
