"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "erkely" "legkondicionalo"
"11" "35" "36" "1" " 9. kerület, Nádasdy utca " "újszeru" "2015" "összkomfortos" "nincs megadva" "3" "7" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "nincs megadva" NA "7.15 m²" NA
"12" "25.5" "30" "2" " 3. kerület, Tímár utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA "nincs"
"13" "28.2" "68" "3" " 10. kerület, Kovágó utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "3 m²" NA
"14" "79.2" "86" "2" " 8. kerület, Déri Miksa utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA "nincs"
"15" "28.9" "44" "2" " 15. kerület, Illyés Gyula utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"16" "37.9" "58" "2" " 13. kerület, Visegrádi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "utca, közterület" "20 000 Ft/hó" "4 m²" NA
"17" "54.99" "64" "2" " 14. kerület, Törökor " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"18" "37.9" "56" "2" " 6. kerület, Csengery utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület" "14 500 Ft/hó" NA "nincs"
"19" "63.9" "71" "2" " 6. kerület, Podmaniczky utca 11. " "felújított" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "35 000 Ft/hó" NA "van"
"20" "30" "49" "2" " 14. kerület, Ungvár utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
