"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"11" "31.5" "41" "1" " 7. kerület, Hernád utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs" "10 000 Ft/hó" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"12" "36.2" "32" "1" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, gáz (cirko)" "van" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "igen" "nincs megadva" "udvari beálló - bérelheto" "4 m²" NA NA
"13" "84.9" "95" "3" " 14. kerület, Ötvenes utca " "felújított" "2015" "duplakomfortos" "nincs megadva" "2" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "igen" "nincs megadva" "önálló garázs - megvásárolható" "14 m²" NA "12 M Ft"
"14" "49.9" "92" "3" " 7. kerület, Lövölde tér " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "dél" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "115" "90" "1" " 5. kerület, Apáczai Csere János utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"16" "149" "147" "3" " 2. kerület, Kurucles " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "fan-coil" "van" NA "igen" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" "20 m²" NA NA
"17" "37" "38" "1" " 8. kerület, Futó utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "nincs megadva" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"18" "68.5" "86" "2" " 13. kerület, Hegedus Gyula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés" NA NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "35" "45" "2" " 6. kerület, Szondi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "49.9" "41" "2" " 13. kerület, Újlipótváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "36 m²" NA NA
