"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"11" "66.9" "99" "3" " 11. kerület, Bartók Béla út " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "3.5 m²" NA NA
"12" "37.5" "39" "1" " 5. kerület, Balaton utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "25.9" "31" "1" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" "nincs megadva" NA
"14" "25.9" "31" "1" " 3. kerület, Ágoston utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" "nincs megadva" NA
"15" "25.9" "33" "1" " 4. kerület, Káposztásmegyer I. lakótelep " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
"16" "24" "36" "1" " 8. kerület, Füvészkert utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "11 000 Ft/hó" NA NA NA
"17" "22.9" "37" "1" " 18. kerület, Lakatos-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "nyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "7 000 Ft/hó" NA NA NA
"18" "47.5" "70" "3" " 15. kerület, Rákospalota – Énekes utcai lakótelep " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "16 m²" NA NA
"19" "44.9" "83" "3" " 13. kerület, Árboc utca " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"20" "65" "89" "3" " 2. kerület, Országút " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "cserépkályha, gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "nincs megadva" "22 500 Ft/hó" NA NA NA
