"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"11" "69.9" "77" "3" " 5. kerület, Bihari János utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"12" "21.6" "35" "1" " 18. kerület, Havanna-lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett"
"13" "57.9" "95" "3" " 9. kerület, Angyal utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "cserépkályha" NA "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA
"14" "37.9" "46" "2" " 11. kerület, Törökvero út " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "8 m²" NA
"15" "35.9" "65" "3" " 3. kerület, Szello utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva"
"16" "28.5" "48" "2" " 3. kerület, Óbuda – Filatorigát " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "5 m²" "nem vett részt"
"17" "98.93" "80" "3" " 5. kerület, Lipótváros " "felújított" "1950-1980 között" "összkomfortos" "EE" "1" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA
"18" "44.9" "89" "2" " 7. kerület, Szinva utca " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "1.5 m²" NA
"19" "24.5" "47" "1" " 23. kerület, Soroksár – Vargatelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "8 m²" NA
"20" "34" "69" "3" " 3. kerület, Kis Korona utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" NA "igen" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva"
