"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"11" "46.9" "53" "2" " 3. kerület, Hunor utca 22. " NA "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "29.5" "68" "2" " 4. kerület, Szabolcsi Bence tér " NA "közepes állapotú" "1981-2000 között" "összkomfortos" "CC" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "nincs megadva" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva"
"13" "62.1" "57" "1" " 1. kerület, Hegyalja út " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "11 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"14" "89" "81" "2" " 5. kerület, Hold utca " NA "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"15" "24.9" "35" "2" " 7. kerület, István utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"16" "129" "116" "3" " 5. kerület, Múzeum körút " NA "felújított" NA "luxus" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "38.9" "65" "3" " 11. kerület, Fehérvári út " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "DD" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "dél" "panorámás" "4.5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"18" "19.9" "37" "1" " 13. kerület, Lehel utca 28. " NA "felújítandó" NA "félkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"19" "99.9" "82" "3" " 5. kerület, Falk Miksa utca " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"20" "29.8" "55" "3" " 21. kerület, Csepel-Szabótelep " NA "újszeru" "2014" "komfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "van" "nem" "külön és egyben is" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
