"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg" "parkolohely_ara"
"11" "29.99" "55" "2" " 14. kerület, Angol utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA
"12" "118.99" "98" "4" " 12. kerület, Istenhegy " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "14.1 m²" "nincs megadva" "nincs megadva" NA "önálló garázs - benne van az árban" NA NA
"13" "44.74" "50" "2" " 3. kerület, Kocsis Sándor út " "új építésu" "2020" "összkomfortos" "AA++" "1" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú" "van" "igen" "külön helyiségben" "kelet" "utcai" "12.6 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4 M Ft"
"14" "35.9" "59" "2" " 14. kerület, Zászlós utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"15" "100.93" "104" "4" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "4" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "27.31 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
"16" "61.79" "63" "3" " 10. kerület, Harmat utca " "új építésu" "2021" "összkomfortos" "AA++" "2" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "nyugat" "kertre nézo" "18.55 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
"17" "83.57" "88" "4" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "2" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "északnyugat" "kertre nézo" "27.39 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
"18" "93.01" "96" "4" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "2" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "észak" "kertre nézo" "26.9 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
"19" "54.26" "62" "3" " 10. kerület, Harmat utca 22. " "új építésu" "2021" "összkomfortos" "AA++" "1" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "kelet" "kertre nézo" "8.5 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
"20" "66.15" "75" "3" " 10. kerület, Harmat utca 22. " "új építésu" "2022" "összkomfortos" "AA++" "1" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "igen" "külön helyiségben" "észak" "kertre nézo" "10.81 m²" "nem" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "4.5 M Ft"
